Primary_Critical_Material,Project_Name,Mining_Method,Co-Producing_Materials,Existing_Mine,Status_of_Project,Regulatory_Challenges,State,County,Latitude,Longitude,Nearest_Population_Center,Population_Size,Additional_Location_Information,Mining_District,Mineral_Occurrence,Lead_Developer,Location_of_Lead_Developer_HQ,Lead_Developer_Website,Parent_Company,Location_of_Parent_Company_HQ,Was_There_Change_in_Ownership_during_Project?,Planned_Production_Capacity_(Thousands_of_Tons/Year),Planned_Lifespan_of_Mine__(Years),Processing_Plan_in_US,Processing_Done_by_the_Same_Lead_Developer/Parent_Company,Total_Capital_Costs__(Millions_of_Dollars),Number_of_Federal_Awards,Federal_Agency,Year_Granted,Grant/Loan,Amount__(Millions_of_Dollars),Purpose_of_Support,Public_Supply_Agreement_w/_an_Automaker_or_Battery/Component_Producer,Type_of_Land,Public_Land_Ownership,Year_of_Land_Acquisition,Evidence_of_Litigation,Number_of_Cases,State_and/or_Federal,Court_Rulings_Issued,Level_of_Court,Link_to_Judicial_Decision
Cobalt,Colson,Undetermined,,Yes-- Abandoned,Delayed Indefinitely,No,Idaho,Lemhi,45.1759213,-113.895773,"Salmon, ID",3295,Yes,Mineral Hill,Idaho Cobalt Belt,Koba Resources Limited,AU,https://kobaresources.com,,,-,,,-,-,,,,,,,,-,Public,USFS,,-,,,-,,
Cobalt,Elkhorn ,Undetermined,Copper,Yes-- Abandoned,Delayed Indefinitely,No,Idaho,Lemhi,45.1759213,-113.895773,"Salmon, ID",3295,Yes,Blackbird,Idaho Cobalt Belt,Koba Resources Limited,AU,https://kobaresources.com/projects/cobalt/idaho-cobalt-belt-overview/elkhorn-project/,,,Yes,,,-,-,,,,,,,,-,Public,USFS,,-,,,-,,
Cobalt,Goodsprings ,Undetermined,Copper,Yes-- Abandoned,Delayed Indefinitely,No,Nevada,Clark,35.8324542,-115.4338295,"Goodsprings, NV",162,Yes,Goodsprings,Beatty-Searchlight Mineral Belt,Koba Resources Limited,AU,https://kobaresources.com/projects/cobalt/idaho-cobalt-belt-overview/goodsprings-project/,,,Yes,,,-,-,,,,,,,,-,Public,BLM,,-,,,-,,
Cobalt,Idaho Cobalt Operations,Surface,"Copper, Gold",Yes-- Abandoned,Delayed Indefinitely,No,Idaho,Lemhi,45.1759213,-113.895773,"Salmon, ID",3295,Yes,Blackbird,Idaho Cobalt Belt,Jervois,AU,https://jervoisglobal.com/projects/idaho-cobalt-operations/,Jervois Global,AU,Yes,8.0,12.5,Yes,Yes,307,1.0,DOD,2023,Grant,15.0,Exploration,-,Public,USFS,,-,,,-,,
Cobalt,Idaho Cobalt Project,Surface,"Copper, Gold",No-- New Development,Development,No,Idaho,Lemhi,45.1759213,-113.895773,"Salmon, ID",3295,Yes,Blackbird,Idaho Cobalt Belt,Champion Electric Metals,CA,https://www.champem.com,,,-,,28,Yes,-,,,,,,,,-,Public,USFS,,-,,,-,,
Cobalt,Iron Creek,Underground,Copper,No-- New Development,Exploration,No,Idaho,Lemhi,45.1759213,-113.895773,"Salmon, ID",3295,Yes,Blackbird,Idaho Cobalt Belt,Electra,CA,https://electrabmc.com/about-us/,,,-,,,-,Yes,,,DOD,2024,Grant,20.0,Processing,Yes,Public,USFS,2018.0,-,,,-,,
Cobalt,Madison,Recovery from mine waste,"Copper, Nickel",Yes-- Abandoned,Exploration,Yes,Missouri,Madison,37.5460805,-90.2872626,"Cobalt, MO",262,Yes,Mine La Motte-Fredericktown,,U.S. Strategic Metals,US,https://www.usstrategicmetals.com/,,,Yes,2.5,,Yes,Yes,,2.0,Import/Export & US Citizenship and Immigration Services,2024,Loan,500.8,Development,-,Private,,2018.0,Yes,,,-,,
Cobalt,Panther ,Undetermined,Copper,Yes-- Abandoned,Delayed Indefinitely,No,Idaho,Lemhi,45.1759213,-113.895773,"Salmon, ID",3295,Yes,Blackbird,Idaho Cobalt Belt,Koba Resources Limited,AU,https://kobaresources.com/projects/cobalt/idaho-cobalt-belt-overview/panther-project/,,,Yes,,,-,-,,,,,,,,-,Public,USFS,2021.0,-,,,-,,
Neodymium,Bear Lodge,Surface,,No-- New Development,Development,Yes,Wyoming,Crook,44.4064017,-104.375895,"Sundance, WY",1032,Yes,Bear Lodge,,Rare Element Resource Inc,CA,https://www.rareelementresources.com/company,,,-,,,Yes,-,,2.0,DOE,2024,Grant,46.2,processing,-,Public and Private,USFS/State,,-,,,-,,
Neodymium,Brook,Undetermined,"neodyium, praseodyium, dysprosium, terbium ",Yes-- Abandoned,Exploration,Yes,Wyoming ,Sheridan,44.7947537,-106.8222688,"Sheridan, WY",18737,Yes,,,Ramaco Resources,US,https://ramacoresources.com/,,,Yes,,,-,-,,,,,,,,-,Private,,,-,,,-,,
Neodymium,Cowboy State,Surface,,No-- New Development,Exploration,No,Wyoming,Platte,42.054424,-104.952726,"Wheatland, WY",3500,Yes,Iron Mountain,,Wyoming Rare Inc,AU,https://americanrareearths.com.au/projects/halleck-creek-wy/,American Rare Earths,AU,-,1.7,,-,Yes,456,1.0,Import/Export Bank,2024,Loan,456.0,Construction and Operations,-,Public and Private,State,,-,,,-,,
Neodymium,Diamond Creek,Undetermined,,No-- New Development,Exploration,No,Idaho,Lemhi,45.1759213,-113.895773,"Salmon, ID",3295,Yes,Lemhi Pass ,,Idaho Strategic Resources,US,https://idahostrategic.com/ree-overview/,,,-,,,-,-,,,,,,,,-,Public,USFS,,-,,,-,,
Neodymium,Elk Creek,Surface,"Niobium, Titanium",No-- New Development,Delayed Indefinitely,No,Nebraska,Johnson,40.286111,-96.129451,"Elk Creek, NE",67,Yes,,,NioCorp,US,https://www.niocorp.com/elk-creek-project/,,,-,,,Yes,-,1140,1.0,Import/Export Bank,2023,Loan,800.0,Infrastructure ,-,Private,,,-,,,-,,
Neodymium,La Paz,Underground,,No-- New Development,Exploration,No,Arizona,La Paz,33.9076636,-113.9852577,"Bouse, AZ",707,Yes,Plomosa,,Western Rare Earths,AU,https://americanrareearths.com.au/projects/la-paz-rare-earth-project/,American Rare Earths,AU,-,,,-,Yes,,1.0,DOD,,,,,-,Public,BLM/State,,-,,,-,,
Neodymium,Mountain Pass,Underground,,No-- New Development,Active -- Expansion Plan,No,California,San Bernardino,35.2754584,-116.0694294,"Baker, CA",442,Yes,Mountain Pass,,MP Materials,US,https://mpmaterials.com/about/,MP Materials,US,Yes,42.0,32,Yes,Yes,,4.0,DOD,2020/2022/2024,Grant,388.0,Processing/Magnet Prod.,Yes,Private,,2017.0,-,,,-,,
Neodymium,Pea Ridge,Underground,Iron,Yes-- Abandoned,Development,Yes,Missouri,Washington,38.2389389,-91.0687522,"Miramiguoa Park, MO",120,Yes,Saint Francois,,Caldera Holdings Company,US,Unavailable,,,-,,,-,Yes,,1.0,IRS,2024,Tax Credit,60.0,Magnet Prod,-,Private,,,-,,,-,,
Neodymium,Sheep Creek,Surface,,No-- New Development,Exploration,No,Montana,Ravalli,46.022659,-114.178093,"Darby, MT",780,Yes,Mineral Point,,US Critical Mineral Inc,US,https://uscriticalmaterials.com/sheep-creek/,,,Yes,,,-,-,,,,,,,,-,Public,USFS,,-,,,-,,
Nickel,Eagle,Underground,Copper,Yes-- Active,Active -- No Expansion Plan,Yes,Michigan,Marquette,46.815757,-87.728464,"Big Bay, MI",257,Yes,Marquette Gold,,Lundin Mining Corp,US,https://www.eaglemine.com/,Lundin Mining Corp,CA,Yes,17.0,6,Yes,Yes,,1.0,DOD,2023,Grant,20.0,Explore in MI and MN,-,Private,,,Yes,2.0,State,Yes,District & Appeals,http://www.keweenawreport.com/wp-content/uploads/2014/08/Water-Discharge-Decision-Court-of-Appeals-2014-08-13.pdf. http://www.keweenawreport.com/wp-content/uploads/2014/08/Mining-Permit-Decision-Court-of-Appeals-2014-08-13.pdf. 
